'P26NickelV15um','P27CrackDepthV20um','P44TN','P51NickelR','P52XYPlaneL22um','P57DisplacementYComponentum','P36SIFSK2MaximumMPaum05',P66SIFSK1MaximumMPaum05'
8.193145066,2.633123814,18.0775,290.1869284,1553.184939,163.8113824,-2.241511561,760.3677778
8.193145066,2.633123814,18.0775,290.1869284,1553.184939,164.2187947,-3.216526279,761.6781567
8.193145066,2.656981887,18.0775,290.0795886,1550.671119,163.9576916,-4.029747587,761.5537089
8.193145066,2.633123814,18.0775,290.1869284,1553.184939,163.8113824,-2.241511561,760.3677778
8.193145066,2.633123814,18.0775,290.1869284,1553.184939,164.2187947,-3.216526279,761.6781567
8.193145066,2.656981887,18.0775,290.0795886,1550.671119,163.9576916,-4.029747587,761.5537089
8.207586435,2.700943458,17.83392147,289.186797,1556.002889,164.2187947,-2.291373062,757.1124396
8.207586435,2.700943458,17.83392147,289.186797,1556.002889,164.2187947,-2.291373062,757.1124396
8.263072408,2.629862873,17.92643803,290.0985001,1543.189013,163.6839254,-1.522083181,764.905313
8.263072408,2.629862873,17.92643803,290.0985001,1543.189013,163.6839254,-1.522083181,764.905313
8.26804719,2.724647797,19.1218218,291.8316667,1556.88965,161.0086382,-3.530939107,763.9924849
8.26804719,2.724647797,19.1218218,291.8316667,1556.88965,161.0086382,-3.530939107,763.9924849
8.2722417,2.936992175,17.52565317,290.1869284,1552.476089,164.3552216,-2.467144246,757.1642199
8.2722417,3.037776359,17.52565317,289.9793018,1557.970483,164.2918393,-3.209074651,753.8915523
8.2722417,3.037776359,17.52565317,289.9793018,1557.970483,164.3552216,-3.360297084,754.0922196
8.2722417,2.936992175,17.52565317,290.1869284,1552.476089,164.3552216,-2.467144246,757.1642199
8.2722417,3.037776359,17.52565317,289.9793018,1557.970483,164.2918393,-3.209074651,753.8915523
8.2722417,3.037776359,17.52565317,289.9793018,1557.970483,164.3552216,-3.360297084,754.0922196
8.414170173,5.237859698,33.66834636,329.5555097,1866.258845,152.8961366,-18.80244146,754.5604759
8.414170173,5.584992014,34.34499121,334.3986038,1890.290346,152.8961366,-16.99172935,752.218204
8.439204456,2.091925576,48.30922352,321.9460467,2155.824899,151.7464351,-3.013861717,756.4031632
8.53658894,7.092181548,26.43337745,334.9997979,1739.97525,149.1605531,-3.039423178,736.0593432
8.571264107,2.983028105,49.0864865,327.5173736,2386.386396,163.9126709,-1.577940378,744.099571
8.621890717,3.385102404,21.98908076,292.2279959,1569.107983,149.703635,-4.52978928,755.4446657
8.621890717,3.385102404,21.98908076,292.2279959,1573.015517,149.7638498,-3.542867899,754.1235415
8.621890717,3.385102404,21.98908076,292.2279959,1569.107983,149.703635,-4.52978928,755.4446657
8.621890717,3.385102404,21.98908076,292.2279959,1573.015517,149.7638498,-3.542867899,754.1235415
8.745164936,5.719139509,22.56276323,307.6941449,1598.853099,144.075554,-4.982194811,734.5845058
8.977474565,5.406624196,29.75568663,312.4097448,1844.00802,153.9586374,-5.668417936,745.347597
9.014067389,2.784261516,30.51560433,284.335279,1738.478225,145.8971421,-10.43909642,752.3622662
9.025436765,3.421990412,54.44922588,322.0949172,2545.005689,168.68886,-15.20928798,745.9058362
9.083405906,2.2255572,39.19795417,288.4506075,1862.985389,142.2443901,-12.85868585,755.2859014
